"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","test","chromium","Mon Nov 24 16:50:17 UTC 2025","passed","Mon Nov 24 16:50:17 UTC 2025","","test-1.spec.ts","",""
"","9629","Complete shopping test","webkit","Thu Nov 20 17:51:14 UTC 2025","failed","Thu Nov 20 17:51:24 UTC 2025","","shopping.spec.ts","",""
"","1700","Login Test via Env Variables","chromium","Mon Nov 24 16:50:11 UTC 2025","passed","Mon Nov 24 16:50:13 UTC 2025","","login.spec.ts","",""
"","7655","My first test","firefox","Thu Nov 20 17:50:56 UTC 2025","passed","Thu Nov 20 17:51:03 UTC 2025","","login.spec.ts","",""
"","601","My first test","chromium","Sun Nov 23 15:05:04 UTC 2025","failed","Sun Nov 23 15:05:05 UTC 2025","","login.spec.ts","",""
"","10378","Complete shopping test","firefox","Thu Nov 20 17:51:02 UTC 2025","failed","Thu Nov 20 17:51:13 UTC 2025","","shopping.spec.ts","",""
"","2088","Complete shopping test","chromium","Sun Nov 23 15:27:39 UTC 2025","failed","Sun Nov 23 15:27:41 UTC 2025","","shopping.spec.ts","",""
"","3765","Complete Shopping Flow Test","chromium","Mon Nov 24 16:50:13 UTC 2025","passed","Mon Nov 24 16:50:17 UTC 2025","","shopping.spec.ts","",""
"","6219","My first test","webkit","Thu Nov 20 17:51:08 UTC 2025","passed","Thu Nov 20 17:51:14 UTC 2025","","login.spec.ts","",""
